genes	IL1B	ADAMTS4	GRN	TF	PGBD1	APBB2	HS3ST1	NCAPD2	RELB	MS4A4E	SRRM4	A2M	MEOX2	IL1A	IDE	TNF	SLC2A4	CELF1	MPO	GAPDH	ECHDC3	MAPT	IL1RN	DPYSL2	APH1B	CD33	PCK1	BACE1	CCR2	MAOB	NME8	NPY	HMOX1	TRAK2	NOS3	KAT8	SLC30A6	VLDLR	ABCA1	MTHFR	FRMD4A	SLC24A4	PLD3	ABI3	PICALM	RELN	CASS4	ESR1	BCL3	IGF2	MS4A2	PSEN1	HFE	CLNK	APOC4	MTHFD1L	OLR1	NEDD9	ECE1	TNK1	TREML2	PM20D1	FAS	GSK3B	CR1	REST	DAPK1	CASP3	BCHE	CRH	CHRNA7	CHRNB2	CTSD	GLIS3	BIN1	IL10	DSG2	LPL	ADAM10	MAN2A1	EXOC3L2	STH	THRA	CLU	BAX	TFCP2	MME	BDNF	MS4A4A	IGF1	ACE	SOD2	DHCR24	SORL1	SORCS1	HLA-DRB5	APP	MS4A6A	TFAM	SOAT1	ENTPD7	ACHE	PTK2B	CTNNA3	PPARG	CD2AP	RIN3	OTC	IGF1R	HHEX	CNTNAP2	TOMM40	ARID5B	CH25H	IL33	HESX1	BCL2	PSEN2	PRNP	APOC1	APOC2	ABCA7	EIF2AK3	APOE	ZNF292	INPP5D	ARC	UBQLN1	TREM2	CALHM1	SLC30A4	FERMT2	ALPK2	EPHA1	LRP1	PLAU	NOTCH3	VEGFA	PPP1R37	ZCWPW1	BCAM	CST3	VSNL1	IL6	GAB2	HLA-DRB1	MEF2C	INSR	SCIMP	PON1	CYP46A1	PAXIP1	TP53INP1	LDLR	CHAT	GAPDHS	CYP19A1	IL8	IGF2R	label
MYO1H	0.0451171	0.015768	0.0315764	0.0231566	0.0196736	0.0315764	0.0315764	0.0231566	0.038545	0.00997894	0.038545	0.0315764	0.0442577	0.0488975	0.015768	0.0451171	0.0422906	0.0315764	0.0607152	0.0315764	0.0480393	0.0315764	0.0707655	0.0231566	0.0231566	0.0442577	0.0408771	0.0315764	0.0809299	0.0231566	0.0240564	0.0196736	0.0316164	0.0315764	0.00997894	0.0231566	0.0231566	0.0315764	0.0231566	0.0331031	0.0196736	0.0168594	0.0315764	0.015768	0.0315764	0.0315764	0.029061	0.0504271	0.0552863	0.015768	0.0506398	0.0196736	0.0381232	0.0631319	0.0539884	0.0231566	0.0422906	0.00997894	0.0196736	0.0809843	0.00997894	0.0504271	0.0381232	0.0231566	0.0268917	0.0420531	0.0196736	0.0231566	0.0196736	0.0231566	0.0196736	0.0196736	0.0315764	0.0196736	0.0315764	0.0498384	0.0539884	0.0231566	0.0315764	0.0315764	0.0631319	0.0209283	0.0231566	0.0315764	0.0315764	0.0315764	0.0471829	0.0315764	0.0168594	0.0209283	0.015768	0.0315764	0.0315764	0.0315764	0.0231566	0.0231566	0.0315764	0.00997894	0.0315764	0.0231566	0.0408771	0.0315764	0.0231566	0.0316164	0.0268917	0.0315764	0.0316164	0.0577024	0.0209283	0.0268917	0.0315764	0.0315764	0.0351317	0.0268917	0.0315764	0.0585486	0.0240564	0.015768	0.0315764	0.0231566	0.0488975	0.0196736	0.0231566	0.0209283	0.0315764	0.0573845	0.0231566	0.0315764	0.0209283	0.029061	0.0231566	0.0315764	0.0209283	0.0679007	0.0231566	0.0622735	0.0231566	0.0315764	0.0196736	0.0231566	0.0381232	0.0315764	0.118163	0.038545	0.0168594	0.0351317	0.0231566	0.0268917	0.0240564	0.0331031	0.0231566	0.0168594	0.00997894	0.0209283	0.0268917	0.0408771	0.0634819	0.015768	0.0315764	0
CCDC121	0.0196736	0.0168594	0.0168594	0.029061	0.0231566	0.029061	0.0231566	0.0168594	0.0168594	0.00997894	0.0196736	0.015768	0.00997894	0.0231566	0.0168594	0.0168594	0.0196736	0.0315764	0.0231566	0.0231566	0.0209283	0.0196736	0.0168594	0.00997894	0.0316164	0.0196736	0.0168594	0.0168594	0.0196736	0.0209283	0.0168594	0.0196736	0.0168594	0.0168594	0.0196736	0.0231566	0.015768	0.0196736	0.0351317	0.0196736	0.0231566	0.015768	0.0231566	0.0231566	0.029061	0.00997894	0.0196736	0.00997894	0.00997894	0.0168594	0.015768	0.00997894	0.00997894	0.0231566	0.0231566	0.0168594	0.0168594	0.0240564	0.0168594	0.0196736	0.0196736	0.0196736	0.0168594	0.0231566	0.00997894	0.0351317	0.00997894	0.015768	0.00997894	0.0231566	0.00997894	0.0231566	0.00997894	0.0168594	0.0231566	0.0168594	0.0196736	0.0231566	0.00997894	0.00997894	0.0231566	0.0231566	0.00997894	0.0240564	0.0231566	0.0209283	0.0231566	0.0231566	0.0316164	0.0231566	0.0196736	0.0196736	0.0231566	0.0196736	0.0196736	0.00997894	0.0196736	0.0168594	0.0196736	0.0209283	0.0196736	0.0231566	0.0315764	0.0209283	0.0231566	0.015768	0.0231566	0.0168594	0.0196736	0.0240564	0.0315764	0.0196736	0.0196736	0.0168594	0.0364888	0.00997894	0.0240564	0.0240564	0.0196736	0.0268917	0.0209283	0.0231566	0.0209283	0.0209283	0.0331031	0.0196736	0.0168594	0.0168594	0.0196736	0.0196736	0.00997894	0.015768	0.0231566	0.0196736	0.0196736	0.0231566	0.0240564	0.0196736	0.0315764	0.00997894	0.0168594	0.0240564	0.0315764	0.0196736	0.0209283	0.0168594	0.0315764	0.0168594	0.0196736	0.0231566	0.0315764	0.0168594	0.015768	0.0196736	0.0231566	0.0168594	0.0196736	0.00997894	0.015768	0
LRRC53	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0
SHBG	0.0591843	0.0240564	0.0315764	0.0315764	0.015768	0.0315764	0.0231566	0.0315764	0.0861884	0.00997894	0.0268917	0.0315764	0.029061	0.0788971	0.0168594	0.20164	0.118786	0.0315764	0.139107	0.0315764	0.0451171	0.0315764	0.20164	0.0315764	0.0168594	0.0707517	0.079122	0.0315764	0.0963969	0.0315764	0.054523	0.0315764	0.0240564	0.0315764	0.0209283	0.0231566	0.0315764	0.268812	0.0315764	0.0759878	0.0315764	0.0196736	0.0315764	0.0420531	0.0315764	0.0231566	0.0631319	0.139107	0.0855753	0.0240564	0.139107	0.0196736	0.0716477	0.07012	0.20164	0.0196736	0.0364888	0.0315764	0.029061	0.139107	0.20673	0.038545	0.0381232	0.0315764	0.0420531	0.0575166	0.0315764	0.0315764	0.308893	0.0196736	0.0408771	0.104463	0.549846	0.0231566	0.0315764	0.0905599	0.0442577	0.0315764	0.0315764	0.0315764	0.038545	0.0268917	0.0231566	0.0315764	0.0315764	0.0315764	0.0408771	0.0315764	0.0168594	0.0331031	0.0732561	0.0315764	0.0315764	0.268812	0.0168594	0.0196736	0.0315764	0.0231566	0.0315764	0.0315764	0.0552863	0.168322	0.0315764	0.0381232	0.0268917	0.0315764	0.0488975	0.0955521	0.0231566	0.0168594	0.277885	0.00997894	0.0231566	0.0268917	0.0315764	0.094708	0.053787	0.029061	0.0315764	0.0331031	0.0905599	0.0240564	0.0315764	0.0315764	0.0315764	0.0759878	0.0231566	0.0315764	0.122675	0.0488975	0.0315764	0.0315764	0.0617708	0.20164	0.21091	0.104463	0.0168594	0.0315764	0.015768	0.0168594	0.245196	0.0315764	0.0315764	0.0562352	0.0364888	0.0316164	0.0315764	0.0408771	0.0268917	0.272134	0.0196736	0.0315764	0.0315764	0.217481	0.0573845	0.139107	0.084426	0.0168594	0.0315764	0
PGBD4	0.0209283	0.0240564	0.0168594	0.0196736	0.00997894	0.0168594	0.0168594	0.0196736	0.015768	0.00997894	0.0209283	0.0168594	0.0168594	0.0240564	0.0209283	0.029061	0.00997894	0.00997894	0.015768	0.0231566	0.015768	0.0168594	0.0240564	0.0231566	0.0168594	0.0240564	0.0168594	0.00997894	0.0240564	0.0196736	0.00997894	0.0196736	0.0240564	0.0196736	0.0209283	0.0168594	0.00997894	0.0196736	0.0240564	0.0268917	0.015768	0.00997894	0.0196736	0.0240564	0.0196736	0.0168594	0.0240564	0.0316164	0.029061	0.00997894	0.0209283	0.00997894	0.0240564	0.0381232	0.0209283	0.0209283	0.0168594	0.015768	0.0168594	0.0240564	0.00997894	0.0316164	0.00997894	0.0209283	0.0240564	0.0168594	0.00997894	0.00997894	0.0231566	0.00997894	0.00997894	0.015768	0.0196736	0.0196736	0.0196736	0.0209283	0.0168594	0.0168594	0.0196736	0.0168594	0.0331031	0.0268917	0.00997894	0.0231566	0.0168594	0.0196736	0.0240564	0.0168594	0.00997894	0.00997894	0.00997894	0.00997894	0.0231566	0.0196736	0.015768	0.0168594	0.0196736	0.00997894	0.00997894	0.0168594	0.029061	0.00997894	0.0168594	0.0351317	0.015768	0.0196736	0.00997894	0.0331031	0.0316164	0.00997894	0.0168594	0.0168594	0.00997894	0.0168594	0.0196736	0.0209283	0.015768	0.00997894	0.0196736	0.0168594	0.015768	0.015768	0.0168594	0.00997894	0.0168594	0.0209283	0.00997894	0.0196736	0.0196736	0.029061	0.00997894	0.0196736	0.0331031	0.0316164	0.015768	0.0240564	0.00997894	0.00997894	0.00997894	0.015768	0.00997894	0.00997894	0.0196736	0.0240564	0.0231566	0.0168594	0.0168594	0.0196736	0.015768	0.015768	0.0168594	0.0231566	0.0209283	0.015768	0.0209283	0.015768	0.0455834	0.0268917	0.0196736	0
CT45A1	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0
TMEM183A	0.0315764	0.0231566	0.0315764	0.0240564	0.029061	0.029061	0.0315764	0.0315764	0.0315764	0.00997894	0.015768	0.0168594	0.0315764	0.0315764	0.0196736	0.0315764	0.0315764	0.0631319	0.0315764	0.0607152	0.0315764	0.118786	0.0315764	0.0196736	0.0268917	0.0315764	0.0315764	0.0442577	0.0315764	0.0331031	0.0315764	0.0364888	0.0315764	0.029061	0.0315764	0.0591843	0.0316164	0.0209283	0.0631319	0.0315764	0.0455834	0.0196736	0.0488975	0.0315764	0.0209283	0.0420531	0.0315764	0.0315764	0.0315764	0.0231566	0.0315764	0.0168594	0.0315764	0.0315764	0.0315764	0.00997894	0.0315764	0.0196736	0.0315764	0.0315764	0.0315764	0.0231566	0.0315764	0.015768	0.0231566	0.0315764	0.0591843	0.0732561	0.0315764	0.0209283	0.0331031	0.0209283	0.0231566	0.0168594	0.0315764	0.0315764	0.0315764	0.0168594	0.108899	0.0209283	0.0315764	0.0196736	0.0315764	0.0315764	0.0601434	0.0168594	0.0315764	0.0331031	0.0196736	0.0315764	0.0315764	0.0422906	0.0480393	0.015768	0.015768	0.0196736	0.0268917	0.0315764	0.0351317	0.00997894	0.0315764	0.0315764	0.0351317	0.0315764	0.0315764	0.00997894	0.0315764	0.0315764	0.0315764	0.0315764	0.0855753	0.029061	0.0315764	0.0315764	0.0315764	0.0315764	0.0315764	0.0231566	0.0905599	0.0315764	0.0315764	0.0315764	0.0168594	0.015768	0.0679007	0.0315764	0.0315764	0.127142	0.0315764	0.0168594	0.0196736	0.0660758	0.0315764	0.0315764	0.0196736	0.0315764	0.0315764	0.0607916	0.0231566	0.0196736	0.0315764	0.0231566	0.118092	0.0315764	0.0315764	0.0315764	0.0535966	0.0315764	0.0196736	0.0315764	0.0240564	0.0268917	0.0351317	0.0231566	0.0315764	0.0315764	0.0315764	0.0315764	0.0240564	0
PCED1A	0.0231566	0.0231566	0.0231566	0.0231566	0.0168594	0.00997894	0.0168594	0.0364888	0.0315764	0.00997894	0.015768	0.015768	0.0231566	0.0196736	0.0231566	0.0196736	0.0168594	0.0315764	0.0209283	0.0315764	0.0209283	0.038545	0.0168594	0.00997894	0.0231566	0.0168594	0.0231566	0.0168594	0.00997894	0.0196736	0.0196736	0.0168594	0.0196736	0.0196736	0.0315764	0.0364888	0.0231566	0.0315764	0.015768	0.029061	0.0196736	0.015768	0.0231566	0.0240564	0.0268917	0.0196736	0.0231566	0.0231566	0.0315764	0.0196736	0.00997894	0.0240564	0.0315764	0.0316164	0.0196736	0.0315764	0.0231566	0.0231566	0.0231566	0.0196736	0.0168594	0.0231566	0.0315764	0.0268917	0.00997894	0.0196736	0.0168594	0.0315764	0.00997894	0.0196736	0.0209283	0.00997894	0.0315764	0.0196736	0.0268917	0.0231566	0.0168594	0.0168594	0.0196736	0.0168594	0.015768	0.0268917	0.015768	0.0168594	0.0240564	0.0240564	0.0315764	0.0315764	0.00997894	0.0315764	0.0196736	0.0268917	0.0196736	0.0231566	0.0196736	0.015768	0.015768	0.00997894	0.0196736	0.0331031	0.0240564	0.0168594	0.0231566	0.0196736	0.0231566	0.0196736	0.0240564	0.0196736	0.00997894	0.0196736	0.0168594	0.0168594	0.0381232	0.0168594	0.0196736	0.015768	0.0209283	0.0196736	0.0231566	0.0196736	0.0231566	0.0268917	0.0231566	0.0315764	0.0231566	0.0408771	0.0315764	0.0196736	0.015768	0.0168594	0.0196736	0.0231566	0.0196736	0.0231566	0.0268917	0.00997894	0.0196736	0.0231566	0.00997894	0.038545	0.0231566	0.0231566	0.0231566	0.0168594	0.00997894	0.0231566	0.0231566	0.0196736	0.0196736	0.0168594	0.015768	0.0209283	0.00997894	0.0231566	0.0209283	0.0231566	0.0231566	0.029061	0.0240564	0
YJEFN3	0.0488975	0.0231566	0.0231566	0.0231566	0.0196736	0.0315764	0.0196736	0.0315764	0.0480393	0.00997894	0.0573845	0.0315764	0.0196736	0.0209283	0.0196736	0.0573845	0.029061	0.0315764	0.0637402	0.0315764	0.0316164	0.0209283	0.0351317	0.0231566	0.0315764	0.00997894	0.0331031	0.0315764	0.0209283	0.0231566	0.0268917	0.0660758	0.0196736	0.0315764	0.0351317	0.0168594	0.0315764	0.0231566	0.0315764	0.029061	0.0231566	0.0381232	0.0480393	0.0420531	0.0315764	0.0168594	0.029061	0.0209283	0.0498384	0.0231566	0.029061	0.0231566	0.0196736	0.0451171	0.0351317	0.0231566	0.0268917	0.0231566	0.029061	0.0504271	0.0634819	0.0231566	0.00997894	0.0315764	0.0168594	0.0168594	0.0168594	0.0315764	0.0231566	0.0351317	0.0315764	0.038545	0.0315764	0.0196736	0.0209283	0.0196736	0.00997894	0.0196736	0.0315764	0.0315764	0.0408771	0.015768	0.0522491	0.0196736	0.0315764	0.0315764	0.0209283	0.0351317	0.00997894	0.0331031	0.0504271	0.0315764	0.015768	0.0231566	0.0240564	0.0168594	0.0315764	0.0196736	0.0315764	0.0315764	0.0196736	0.015768	0.0818687	0.0240564	0.0240564	0.0315764	0.0316164	0.0420531	0.0315764	0.0231566	0.029061	0.0196736	0.0231566	0.0168594	0.0315764	0.029061	0.00997894	0.0240564	0.0196736	0.0268917	0.0364888	0.0422906	0.0231566	0.0196736	0.0315764	0.084426	0.0240564	0.0315764	0.0442577	0.015768	0.0196736	0.0315764	0.0231566	0.0455834	0.0231566	0.0506398	0.0196736	0.0231566	0.0451171	0.015768	0.0316164	0.0168594	0.0268917	0.00997894	0.0231566	0.0196736	0.0209283	0.0231566	0.0196736	0.038545	0.0963969	0.0315764	0.0315764	0.0196736	0.0316164	0.0480393	0.0209283	0.00997894	0.0315764	0
LRRC57	0.0315764	0.0196736	0.0231566	0.0196736	0.00997894	0.0231566	0.0196736	0.0231566	0.0315764	0.00997894	0.0231566	0.0702061	0.0315764	0.0315764	0.015768	0.0315764	0.0315764	0.0809843	0.0315764	0.0364888	0.0315764	0.0231566	0.0315764	0.0168594	0.038545	0.0315764	0.0315764	0.0381232	0.0315764	0.123343	0.0315764	0.0168594	0.0231566	0.0666414	0.0315764	0.0316164	0.0506398	0.0268917	0.0196736	0.0315764	0.015768	0.0196736	0.0631319	0.0315764	0.0209283	0.0315764	0.0315764	0.0315764	0.0315764	0.0315764	0.0315764	0.0315764	0.0600815	0.0315764	0.0315764	0.0196736	0.268812	0.0231566	0.0315764	0.0315764	0.118163	0.0315764	0.0231566	0.0351317	0.0196736	0.0315764	0.0268917	0.0231566	0.0315764	0.0196736	0.0196736	0.0315764	0.0351317	0.00997894	0.0168594	0.0231566	0.0887712	0.0455834	0.0601434	0.00997894	0.0315764	0.0231566	0.0315764	0.0196736	0.00997894	0.00997894	0.0315764	0.130811	0.0168594	0.0196736	0.0315764	0.0631319	0.0231566	0.0522491	0.0168594	0.00997894	0.0231566	0.0231566	0.0506398	0.0488975	0.0209283	0.0315764	0.0601664	0.0315764	0.0240564	0.0351317	0.0315764	0.0315764	0.0231566	0.0315764	0.00997894	0.0231566	0.0231566	0.0231566	0.0422906	0.0315764	0.0231566	0.0315764	0.0575166	0.0315764	0.0315764	0.0231566	0.0422906	0.0231566	0.015768	0.0231566	0.054523	0.0601664	0.118163	0.0231566	0.0637402	0.0601434	0.0940856	0.0315764	0.0168594	0.21091	0.0315764	0.0451171	0.0231566	0.0168594	0.118163	0.0196736	0.0666414	0.0315764	0.0315764	0.0940856	0.0707517	0.0315764	0.0231566	0.0315764	0.0240564	0.0316164	0.0240564	0.0315764	0.0315764	0.0315764	0.0315764	0.0196736	0.0231566	0
SSR4	0.0331031	0.0315764	0.20164	0.0231566	0.00997894	0.0315764	0.0315764	0.0231566	0.0316164	0.00997894	0.0231566	0.0552863	0.0315764	0.0315764	0.0209283	0.0315764	0.0196736	0.0315764	0.0231566	0.0955521	0.0408771	0.015768	0.0315764	0.038545	0.0601434	0.0196736	0.0315764	0.0331031	0.0196736	0.0196736	0.0231566	0.0575166	0.0506398	0.0315764	0.0315764	0.00997894	0.0679007	0.054523	0.0315764	0.0315764	0.0315764	0.0168594	0.118092	0.0196736	0.0196736	0.0231566	0.0196736	0.0231566	0.0168594	0.015768	0.0315764	0.0601434	0.0268917	0.0315764	0.0231566	0.0331031	0.0315764	0.0196736	0.0315764	0.0168594	0.0196736	0.0315764	0.0196736	0.0315764	0.0231566	0.0315764	0.0315764	0.0268917	0.0209283	0.0231566	0.0315764	0.0196736	0.139107	0.00997894	0.038545	0.0231566	0.0209283	0.0498384	0.0315764	0.0315764	0.0196736	0.0196736	0.0231566	0.0634819	0.104463	0.0196736	0.0315764	0.015768	0.0442577	0.0240564	0.0231566	0.0933725	0.00997894	0.0315764	0.0231566	0.0637402	0.015768	0.0331031	0.0231566	0.0562352	0.0196736	0.0168594	0.0240564	0.0315764	0.0315764	0.0315764	0.0240564	0.0315764	0.0315764	0.0315764	0.0315764	0.0420531	0.0231566	0.0331031	0.0315764	0.0231566	0.0315764	0.0573845	0.0408771	0.0971778	0.0268917	0.0196736	0.0315764	0.038545	0.0315764	0.015768	0.0315764	0.0231566	0.0471829	0.0231566	0.0315764	0.0209283	0.0231566	0.0315764	0.0480393	0.0168594	0.0231566	0.0168594	0.0315764	0.0168594	0.0315764	0.20164	0.00997894	0.0168594	0.0196736	0.0715438	0.0168594	0.0315764	0.0196736	0.0315764	0.0231566	0.0315764	0.0240564	0.0168594	0.0315764	0.015768	0.0315764	0.0240564	0.0535966	0
DNAJC18	0.0231566	0.00997894	0.029061	0.0196736	0.00997894	0.0240564	0.0196736	0.0231566	0.0315764	0.00997894	0.015768	0.0231566	0.0315764	0.0315764	0.0209283	0.0315764	0.0315764	0.0585486	0.0196736	0.0316164	0.0315764	0.0562352	0.0315764	0.0692684	0.0506398	0.0196736	0.0315764	0.0420531	0.0315764	0.0442577	0.118163	0.0231566	0.0315764	0.0240564	0.0315764	0.0351317	0.0364888	0.00997894	0.029061	0.0231566	0.0268917	0.015768	0.0331031	0.0315764	0.0316164	0.0231566	0.0315764	0.0315764	0.0315764	0.0315764	0.0315764	0.0381232	0.0315764	0.0315764	0.0315764	0.015768	0.0315764	0.00997894	0.0231566	0.0315764	0.0315764	0.0231566	0.0315764	0.0660758	0.0196736	0.0315764	0.00997894	0.0315764	0.0231566	0.038545	0.029061	0.029061	0.029061	0.0231566	0.0209283	0.0315764	0.0231566	0.0168594	0.0498384	0.0168594	0.0231566	0.015768	0.015768	0.0316164	0.0209283	0.054523	0.0231566	0.0268917	0.0240564	0.0231566	0.0231566	0.0601434	0.0168594	0.0240564	0.029061	0.00997894	0.0209283	0.0231566	0.0622735	0.0316164	0.0231566	0.0316164	0.0231566	0.0231566	0.0315764	0.00997894	0.0231566	0.0315764	0.0196736	0.0315764	0.0422906	0.0196736	0.00997894	0.0231566	0.0316164	0.0315764	0.0168594	0.0196736	0.0707517	0.0231566	0.0315764	0.0315764	0.0315764	0.0196736	0.0196736	0.0315764	0.0231566	0.0522491	0.0315764	0.0196736	0.0168594	0.038545	0.0231566	0.0315764	0.0315764	0.0231566	0.0196736	0.038545	0.015768	0.00997894	0.0231566	0.0268917	0.0637402	0.0315764	0.0196736	0.0231566	0.0451171	0.0196736	0.0196736	0.0315764	0.0196736	0.0315764	0.015768	0.0196736	0.0196736	0.0315764	0.0315764	0.0168594	0.00997894	0
XAGE2	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0
